league_name,league_country,display_name
english premier league,England,English Premier League
championship,England,Championship
league one,England,League One
league two,England,League Two
national league,England,national league
fa cup,England,FA Cup
league cup,England,League Cup
champions league,Europe,Champions League
europa league,Europe,Europa League
europa conference league,Europe,Europa Conference League
a-league,Australia,A-League
superliga,Denmark,SuperLiga
ligue 1,France,Ligue 1
ligue 2,France,Ligue 2
bundesliga,Germany,Bundesliga
2. bundesliga,Germany,2. Bundesliga
serie a,Italy,Serie A
serie b,Italy,Serie B
j1 league,Japan,J1 League
j2 league,Japan,J2 League
eredivisie,Netherlands,Eredivisie
eerste divisie,Netherlands,Eerste Divisie
bundesliga,Austria,Austrian Bundesliga
jupiler pro league,Belgium,Jupiler Pro League
Veikkausliiga,Finland,Veikkausliiga
premier division,Ireland,Premier Division
division 1,Ireland,Division 1
liga mx,Mexico,Liga MX
liga portugal,Portugal,Liga Portugal
liga portugal 2,Portugal,Liga Portugal 2
liga profesional,Argentina,Liga Profesional
challenger pro league,Belgium,Challenger Pro League
serie a,Brazil,Serie A
serie b,Brazil,Serie B
parva liga,Bulgaria,Parva Liga
primera division,Chile,Primera Division
super league,China,Super League
1 liga,Czech Republic,Czech Ligue 1
1st division,Denmark,1st Division
super league,Malaysia,Malaysian Super League
elitserien,Norway,Elitserien
pro league,Saudi Arabia,Saudi Pro League
premiership,Scotland,Scottish Premiership
premier league,Singapore,Singapore Premier League
k league 1,South Korea,K League 1
k league 2,South Korea,K League 2
la liga,Spain,LaLiga
la liga 2,Spain,LaLiga 2
allsvenskan,Sweden,Allsvenskan
suprettan,Sweden,Suprettan
super league,Switzerland,Swiss Super League
super lig,Turkey,Super Lig
mls,USA,MLS